ISO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,SUB_EVENT_TYPE,ACTOR1,ASSOC_ACTOR_1,INTER1,ACTOR2,ASSOC_ACTOR_2,INTER2,INTERACTION,REGION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,SOURCE_SCALE,NOTES,FATALITIES,TIMESTAMP
120,CAO518,518,2016-02-19,2016,1,Riots,Violent demonstration,Rioters (Cameroon),,5,Police Forces of Cameroon (1982-),,1,15,Middle Africa,Cameroon,Nord-Ouest,Ngo-Ketunjia,Balikumbat,Bangolan,5.904,10.378,1,Camer.be,National,"After a village chief was replaced under disputed circumstances, the regional governor intervened and villagers erected barricades, vandalized property, and fired shots in the air in protest. Several arrested.",0,1622068190
120,CAO537,537,2016-03-19,2016,1,Violence against civilians,Attack,Babessi Communal Militia (Cameroon),,4,Civilians (Cameroon),Unidentified Communal Group (Cameroon),7,47,Middle Africa,Cameroon,Nord-Ouest,Ngo-Ketunjia,Babessi,Babessi,6.017,10.567,1,Cameroon Post,National,Angry villagers blockaded the local chiefs palace and shot his son in the leg. Security forces arrived later that night and 'secured the village'.,0,1622068189
120,CAO547,547,2016-04-13,2016,1,Riots,Violent demonstration,Rioters (Cameroon),,5,,,0,50,Middle Africa,Cameroon,Sud-Ouest,Fako,Limbe 2,Bota,4.012,9.188,1,Cameroon Post,National,"After being dispersed from protesting outside a courthouse, villagers went to Isokolo and caused material damage to the home the local chief, also burning his car. Then they set fire to the home of the local magistrate.",0,1622068189
120,CAO548,548,2016-04-13,2016,1,Protests,Protest with intervention,Protesters (Cameroon),,6,Police Forces of Cameroon (1982-),,1,16,Middle Africa,Cameroon,Sud-Ouest,Fako,Limbe 1,Limbe,4.01,9.207,1,Cameroon Post,National,"Angry at a recent court ruling involving land claims, over 200 villagers protested outside of the court house and were dispersed by heavily armed security.",0,1622068189
120,CAO549,549,2016-04-14,2016,1,Protests,Protest with intervention,Protesters (Cameroon),,6,Police Forces of Cameroon (1982-),,1,16,Middle Africa,Cameroon,Sud-Ouest,Fako,Limbe 1,Limbe,4.01,9.207,1,Cameroon Post,National,"Angry at a recent court ruling involving land claims, villagers from Botaland protested outside of the state counsels office and are met by anti-riot police officers.",0,1622068189
120,CAO583,583,2016-06-24,2016,1,Protests,Protest with intervention,Protesters (Cameroon),,6,Police Forces of Cameroon (1982-),,1,16,Middle Africa,Cameroon,Nord-Ouest,Mezam,Bamenda 1,Bamenda,5.933,10.167,1,Camer.be,National,Around 100 lawyers protested against the penal code. The march was 'momentarily interrupted' by police.,0,1622068189
120,CAO608,608,2016-08-25,2016,1,Riots,Violent demonstration,Rioters (Cameroon),SCNC: Southern Cameroons National Council,5,,,0,50,Middle Africa,Cameroon,Sud-Ouest,Fako,Buea,Buea,4.153,9.241,1,Cameroon Post,National,Scores of Common Law Layers from the Northwest and Southwest regions and hundreds of activists of the SCNC occupied the Buea Magistrate Court to demand an end to the 'arbitrary arrest and detention of anglophones in Cameroon'.,0,1622068188
120,CAO613,613,2016-09-11,2016,1,Protests,Peaceful protest,Protesters (Cameroon),,6,,,0,60,Middle Africa,Cameroon,Sud-Ouest,Fako,Buea,Buea,4.153,9.241,1,Cameroon Post,National,Wokaka villagers organized a protest march to the Southwest Attorney Generals office in Buea to call for his departure.,0,1622068188
120,CAO616,616,2016-09-24,2016,1,Protests,Peaceful protest,Protesters (Cameroon),,6,,,0,60,Middle Africa,Cameroon,Sud-Ouest,Fako,Buea,Buea,4.153,9.241,1,Cameroon Post,National,"After a large number of people were arrested in the Wokaka area, residents of Wokaka marched on the offices of the Divisional Worker in Buea to demand their release.",0,1622068188
120,CAO617,617,2016-09-26,2016,1,Strategic developments,Arrests,Police Forces of Cameroon (1982-),,1,Civilians (Cameroon),SCNC: Southern Cameroons National Council,7,17,Middle Africa,Cameroon,Sud-Ouest,Fako,Buea,Buea,4.153,9.241,2,Cameroon Post,National,Arrests: A large number of people (no specific number but reported as a mass arrest) were taken into custody in the Wokaka area after either turning on a water tap that had been shut off by the municipality or for removing pillars from private plots of land marked for sale.,0,1622068188
